link,date,time,score,length 1,damage 1,source 1,length 2,damage 2,source 2,length 3,damage 3,source 3,length 4,damage 4,source 4,length 5,damage 5,source 5,length 6,damage 6,source 6,length 7,damage 7,source 7,length 8,damage 8,source 8,length 9,damage 9,source 9
https://dps.report/wKVV-20231021-224425_sam,21.10.2023,22:44:25,nan,4.801,4644.0,Rosenrot.1293,4.097,4199.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/JQe5-20231027-193742_sam,27.10.2023,19:37:42,nan,4.204,4255.0,Rosenrot.1293,8.863,4580.0,Icetea.3204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/Yuig-20231027-194113_sam,27.10.2023,19:41:13,nan,3.602,4354.0,Rosenrot.1293,5.413,4444.0,Icetea.3204,3.205,4519.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/MASX-20231027-194332_sam,27.10.2023,19:43:32,nan,3.993,4744.0,Rosenrot.1293,5.011,4581.0,Icetea.3204,8.503,2841.5,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/UoD3-20231027-194513_sam,27.10.2023,19:45:13,nan,6.906,4256.0,Rosenrot.1293,9.297,4108.5,Icetea.3204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/WtQf-20231027-194723_sam,27.10.2023,19:47:23,nan,4.009,4744.0,Rosenrot.1293,4.704,4644.0,Icetea.3204,6.506,3594.5,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/SjxU-20231027-194828_sam,27.10.2023,19:48:28,nan,8.697,3638.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/517W-20231027-195033_sam,27.10.2023,19:50:33,nan,5.291,4164.0,Rosenrot.1293,4.304,4544.0,Icetea.3204,3.798,4419.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/YJFy-20231027-195235_sam,27.10.2023,19:52:35,nan,3.411,4418.0,Rosenrot.1293,6.417,4319.0,Icetea.3204,8.495,2962.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/2nfH-20231027-195437_sam,27.10.2023,19:54:37,nan,3.401,4581.0,Rosenrot.1293,5.278,4544.0,Icetea.3204,3.106,4619.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
