link,date,time,phase 1 start,phase 2 start,phase 3 start,phase 1 - add1,phase 1 - add2,phase 1 - add3,phase 2 - add1,phase 2 - add2,phase 2 - add3,phase 2 - add4,phase 2 - add5,phase 3 - add1,phase 3 - add2,phase 3 - add3,phase 3 - add4,phase 3 - add5,phase 3 - add6,phase 3 - add7,phase 1 - slam1,phase 2 - slam1,phase 2 - slam2,phase 3 - slam1,phase 3 - slam2,phase 3 - slam3,phase 3 - slam4
https://dps.report/AjBx-20240309-150522_cerus,2024.03.09,15:05:22,0.0,132.129,329.478,26.116,51.493,,44.554,60.125,111.772,179.005,180.133,45.138,61.847,,,,,,75.006,68.021,135.273,53.456,,,
https://dps.report/3t1C-20240309-151340_cerus,2024.03.09,15:13:40,0.0,122.695,312.134,26.138,51.478,,44.514,60.099,111.736,187.798,,45.107,61.841,,,,,,75.01,68.039,135.267,53.425,,,
https://dps.report/YRJT-20240309-152427_cerus,2024.03.09,15:24:27,0.0,130.78,316.681,26.146,51.502,,44.525,60.111,111.76,,,45.136,61.848,,,,,,75.011,68.045,135.259,53.456,,,
https://dps.report/qgZU-20240312-202316_cerus,2024.03.12,20:23:16,0.0,130.397,,26.13,51.472,,44.54,60.117,,,,,,,,,,,75.014,68.056,,,,,
https://dps.report/odlr-20240312-202621_cerus,2024.03.12,20:26:21,0.0,124.797,,26.124,51.49,,,,,,,,,,,,,,75.013,,,,,,
https://dps.report/mFaa-20240312-203319_cerus,2024.03.12,20:33:19,0.0,125.6,319.724,26.121,51.505,,44.53,60.123,111.757,,,45.134,61.853,,,,,,75.021,68.052,135.29,53.442,,,
https://dps.report/Lb5q-20240312-204048_cerus,2024.03.12,20:40:48,0.0,122.648,319.874,26.122,51.49,,44.511,60.112,111.743,,,45.122,61.854,,,,,,75.015,68.031,135.26,53.448,,,
https://dps.report/7Z9k-20240312-204555_cerus,2024.03.12,20:45:55,0.0,126.414,,26.126,51.488,,44.525,60.129,,,,,,,,,,,74.993,68.036,,,,,
https://dps.report/q7BQ-20240312-205042_cerus,2024.03.12,20:50:42,0.0,123.779,,26.12,51.471,,44.495,60.095,111.743,,,,,,,,,,75.014,68.023,135.253,,,,
https://dps.report/JSd9-20240312-205101_cerus,2024.03.12,20:51:01,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/oAm7-20240312-205149_cerus,2024.03.12,20:51:49,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/1jhV-20240312-205421_cerus,2024.03.12,20:54:21,0.0,123.153,,26.109,51.48,,,,,,,,,,,,,,75.012,,,,,,
https://dps.report/swMy-20240312-210225_cerus,2024.03.12,21:02:25,0.0,119.245,316.88,26.116,51.474,,44.498,60.111,111.74,191.477,,45.126,61.841,129.093,135.102,,,,75.001,68.04,135.259,53.433,120.665,,
https://dps.report/mGa1-20240312-211511_cerus,2024.03.12,21:15:11,0.0,129.089,322.042,26.134,51.469,,44.516,60.108,111.756,,,45.136,61.844,,,,,,74.991,68.029,135.276,53.428,,,
https://dps.report/Tg2z-20240312-213211_cerus,2024.03.12,21:32:11,0.0,124.722,308.87,26.116,51.478,,44.54,60.11,111.776,,,45.131,61.856,129.092,135.129,,,,75.019,68.04,135.277,53.455,120.706,,
https://dps.report/WCkm-20240312-213651_cerus,2024.03.12,21:36:51,0.0,,,26.116,,,,,,,,,,,,,,,,,,,,,
https://dps.report/WQ9w-20240312-214056_cerus,2024.03.12,21:40:56,0.0,123.16,,26.119,51.476,,44.521,60.122,,,,,,,,,,,75.013,68.04,,,,,
https://dps.report/Z5ID-20240312-214501_cerus,2024.03.12,21:45:01,0.0,125.567,,26.116,51.478,,44.519,60.103,,,,,,,,,,,75.018,68.028,,,,,
https://dps.report/KGvS-20240312-215154_cerus,2024.03.12,21:51:54,0.0,121.429,305.003,26.124,51.469,,44.539,60.124,111.774,,,45.118,61.837,,,,,,74.992,68.039,135.277,53.433,,,
https://dps.report/2gXw-20240312-215214_cerus,2024.03.12,21:52:14,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/bDjh-20240312-215936_cerus,2024.03.12,21:59:36,0.0,121.138,316.265,26.134,51.503,,44.517,60.119,111.761,180.109,,45.107,61.821,,,,,,75.006,68.024,135.256,53.43,,,
https://dps.report/dVNH-20240312-220114_cerus,2024.03.12,22:01:14,0.0,,,26.115,,,,,,,,,,,,,,,,,,,,,
https://dps.report/0hJ7-20240312-220803_cerus,2024.03.12,22:08:03,0.0,121.929,306.153,26.132,51.481,,44.516,60.112,111.761,,,45.126,61.853,,,,,,75.003,68.02,135.286,53.461,,,
https://dps.report/ZYJO-20240312-221751_cerus,2024.03.12,22:17:51,0.0,,,26.116,51.491,,,,,,,,,,,,,,,,,,,,
https://dps.report/nvvQ-20240312-222451_cerus,2024.03.12,22:24:51,0.0,123.904,313.596,26.136,51.486,,44.5,60.095,111.753,,,45.127,61.861,,,,,,75.009,68.024,135.275,53.449,,,
https://dps.report/4siD-20240312-223144_cerus,2024.03.12,22:31:44,0.0,121.206,308.29,26.133,51.501,,44.518,60.138,111.756,,,45.114,61.846,,,,,,74.998,68.037,135.269,53.437,,,
https://dps.report/g5Gt-20240312-223845_cerus,2024.03.12,22:38:45,0.0,123.919,,26.138,51.496,,44.532,60.115,111.758,,,,,,,,,,75.01,68.036,135.281,,,,
https://dps.report/nddD-20240312-224520_cerus,2024.03.12,22:45:20,0.0,121.545,304.635,26.122,51.482,,44.535,60.134,111.778,182.128,,45.141,,,,,,,75.014,68.044,135.285,53.426,,,
https://dps.report/g1gr-20240313-201026_cerus,2024.03.13,20:10:26,0.0,118.571,318.36,26.135,51.482,,44.508,60.119,111.752,,,45.11,61.84,,,,,,74.994,68.028,135.281,53.424,,,
https://dps.report/bu37-20240313-201724_cerus,2024.03.13,20:17:24,0.0,122.242,302.958,26.125,51.482,,44.519,60.132,111.78,180.123,,45.128,61.836,,,,,,75.014,68.046,135.28,53.444,,,
https://dps.report/mToz-20240313-202459_cerus,2024.03.13,20:24:59,0.0,124.405,306.596,26.15,51.479,,44.52,60.127,111.756,181.072,,45.127,61.84,,,,,,74.994,68.035,135.286,53.423,,,
https://dps.report/GBO3-20240313-203206_cerus,2024.03.13,20:32:06,0.0,121.322,306.223,26.117,51.482,,44.52,60.125,111.755,,,45.096,61.822,,,,,,75.001,68.054,135.288,53.452,,,
https://dps.report/DAYz-20240313-203227_cerus,2024.03.13,20:32:27,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/CdXB-20240313-203648_cerus,2024.03.13,20:36:48,0.0,119.723,,26.128,51.49,,44.528,60.118,111.757,,,,,,,,,,75.01,68.029,,,,,
https://dps.report/aaw1-20240313-204332_cerus,2024.03.13,20:43:32,0.0,123.114,303.157,26.103,51.467,,44.508,60.108,111.747,,,45.111,61.827,,,,,,74.997,68.034,135.261,53.438,,,
https://dps.report/Wsf5-20240313-204813_cerus,2024.03.13,20:48:13,0.0,120.444,,26.114,51.487,,44.521,60.125,111.753,,,,,,,,,,74.997,68.037,,,,,
https://dps.report/N6SP-20240313-205459_cerus,2024.03.13,20:54:59,0.0,,,26.115,51.501,,,,,,,,,,,,,,,,,,,,
https://dps.report/qNDU-20240313-205906_cerus,2024.03.13,20:59:06,0.0,121.481,,26.113,51.485,,44.513,60.124,,,,,,,,,,,75.002,68.027,,,,,
https://dps.report/frqF-20240313-210622_cerus,2024.03.13,21:06:22,0.0,123.032,308.195,26.124,51.468,,44.513,60.136,111.754,181.141,,45.122,61.846,,,,,,75.008,68.048,135.27,53.444,,,
https://dps.report/IAj8-20240313-211300_cerus,2024.03.13,21:13:00,0.0,121.945,299.907,26.115,51.488,,44.543,60.137,111.767,175.895,,45.138,61.863,,,,,,75.012,68.058,135.286,53.469,,,
https://dps.report/AnBo-20240313-211720_cerus,2024.03.13,21:17:20,0.0,122.212,,26.117,51.479,,44.516,60.125,,,,,,,,,,,75.012,68.047,,,,,
https://dps.report/EVte-20240313-212205_cerus,2024.03.13,21:22:05,0.0,117.525,,26.116,51.478,,44.559,60.131,111.76,,,,,,,,,,75.009,68.029,135.27,,,,
https://dps.report/nJMs-20240313-212509_cerus,2024.03.13,21:25:09,0.0,120.632,,26.119,51.482,,,,,,,,,,,,,,75.079,,,,,,
