link,date,time,stacks P1,stacks P2,final percent,final stacks,barrier applications,total barrier,downstates
https://dps.report/qUDC-20240319-223114_cerus,2024.03.19,22:31:14,1,2,35.38,24,7,1833038,1
https://dps.report/NLNC-20240319-223907_cerus,2024.03.19,22:39:07,0,8,28.04,33,6,1908773,4
https://dps.report/WjPy-20240319-224526_cerus,2024.03.19,22:45:26,0,7,35.36,22,5,419195,1
https://dps.report/0xxn-20240319-225341_cerus,2024.03.19,22:53:41,0,0,6.7,33,11,2079504,11
https://dps.report/c32A-20240321-203351_cerus,2024.03.21,20:33:51,1,,78.8,6,3,185718,0
https://dps.report/FBjq-20240321-204131_cerus,2024.03.21,20:41:31,0,0,30.2,16,27,2551110,4
https://dps.report/4IXY-20240321-204455_cerus,2024.03.21,20:44:55,2,,69.53,2,4,591666,0
https://dps.report/3jO3-20240321-204719_cerus,2024.03.21,20:47:19,0,,78.91,6,0,0,0
https://dps.report/DlnJ-20240321-205001_cerus,2024.03.21,20:50:01,,,79.4,0,0,0,1
https://dps.report/XGEy-20240321-205703_cerus,2024.03.21,20:57:03,0,3,37.18,19,4,295188,0
https://dps.report/FTYa-20240321-210447_cerus,2024.03.21,21:04:47,0,2,27.68,25,13,1788177,2
https://dps.report/hglY-20240321-210850_cerus,2024.03.21,21:08:50,0,,64.97,13,5,634566,3
https://dps.report/OcBw-20240321-211528_cerus,2024.03.21,21:15:28,1,0,34.88,12,0,10080,1
https://dps.report/Vukw-20240321-212200_cerus,2024.03.21,21:22:00,0,0,38.25,6,13,105684,4
https://dps.report/0ubf-20240321-212704_cerus,2024.03.21,21:27:04,0,,54.56,3,1,518115,1
https://dps.report/oxLr-20240321-214515_cerus,2024.03.21,21:45:15,0,4,29.56,13,12,2452815,3
https://dps.report/czlr-20240321-215622_cerus,2024.03.21,21:56:22,0,1,24.25,26,17,2486232,3
https://dps.report/dcsP-20240321-220010_cerus,2024.03.21,22:00:10,0,,65.51,6,3,811357,0
https://dps.report/LwaQ-20240321-220105_cerus,2024.03.21,22:01:05,,,94.15,0,0,0,1
https://dps.report/Zste-20240321-220838_cerus,2024.03.21,22:08:38,0,9,26.77,25,6,1542619,3
https://dps.report/G8kl-20240321-221727_cerus,2024.03.21,22:17:27,0,8,19.72,41,17,3530188,5
https://dps.report/MysY-20240321-222750_cerus,2024.03.21,22:27:50,0,4,26.99,18,16,2615991,2
https://dps.report/KuPD-20240321-223722_cerus,2024.03.21,22:37:22,2,,52.4,18,12,1372410,2
https://dps.report/fexB-20240321-224540_cerus,2024.03.21,22:45:40,1,0,24.4,27,31,1097324,7
https://dps.report/KjFK-20240321-225312_cerus,2024.03.21,22:53:12,0,3,37.0,8,2,883831,0
https://dps.report/Adwj-20240321-230134_cerus,2024.03.21,23:01:34,0,9,24.41,46,21,2279840,4
https://dps.report/jtAu-20240328-200347_cerus,2024.03.28,20:03:47,,,99.25,5,0,0,0
https://dps.report/wDkP-20240328-200757_cerus,2024.03.28,20:07:57,0,,64.17,21,1,260486,0
https://dps.report/8BYM-20240328-200818_cerus,2024.03.28,20:08:18,,,99.99,5,0,0,0
https://dps.report/Hux3-20240328-201613_cerus,2024.03.28,20:16:13,8,1,27.21,14,20,1531046,4
https://dps.report/09uO-20240328-202126_cerus,2024.03.28,20:21:26,0,,50.81,21,7,1084681,0
https://dps.report/Kspk-20240328-203025_cerus,2024.03.28,20:30:25,0,4,27.91,21,35,3745938,1
https://dps.report/dGQY-20240328-204207_cerus,2024.03.28,20:42:07,0,4,6.98,46,42,2780735,8
https://dps.report/XgCM-20240328-205205_cerus,2024.03.28,20:52:05,0,0,37.82,15,10,918313,2
https://dps.report/RXzB-20240328-210152_cerus,2024.03.28,21:01:52,0,6,7.1,40,34,2604017,9
https://dps.report/6X7x-20240328-211838_cerus,2024.03.28,21:18:38,0,0,8.21,41,12,2356814,11
https://dps.report/eUKJ-20240328-212202_cerus,2024.03.28,21:22:02,0,,79.0,5,3,185600,0
https://dps.report/q330-20240328-212829_cerus,2024.03.28,21:28:29,1,1,38.3,20,6,1963947,2
https://dps.report/SrAS-20240328-213257_cerus,2024.03.28,21:32:57,0,,55.16,9,8,1854596,0
https://dps.report/I5d3-20240328-213914_cerus,2024.03.28,21:39:14,0,0,37.58,5,4,420612,1
